df_id,df_description,dimension_id,max_level,levels,n_territories,checked_at
104_466,Fertilizzanti,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,139,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_1,Fertilizzanti distribuiti per stato liquido o solido - reg.,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,139,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_2,Fertilizzanti distribuiti per uso in agricoltura biologica - reg.,REF_AREA,regione,nazionale|ripartizione|regione,30,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_3,Fertilizzanti distribuiti per area di produzione - reg.,REF_AREA,regione,nazionale|ripartizione|regione,30,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_4,Fertilizzanti distribuiti - prov.,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,139,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_5,Elementi nutritivi contenuti - prov.,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,139,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_6,Elementi nutritivi contenuti per tipo di fertilizzante,REF_AREA,nazionale,nazionale,1,2026-07-16
104_466_DF_DCSP_FERTILIZZANTI_7,Elementi nutritivi contenuti per ettaro di superficie concimabile - reg.,REF_AREA,regione,nazionale|ripartizione|regione,30,2026-07-16
111_111,Indicatori  permessi di costruire,REF_AREA,nazionale,nazionale,1,2026-07-16
111_111_DF_DCSC_PERM_RAP1_1,Nuovi fabbricati residenziali,REF_AREA,nazionale,nazionale,1,2026-07-16
111_111_DF_DCSC_PERM_RAP1_2,Nuova edilizia non residenziale,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_1,Clima e saldi mensili destagionalizzati,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_10,"Clima, saldi e frequenze mensili grezzi - rip.",REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
